ID,ShopName,Rate,Min_wait,Max_wait,Del_status,Del_kind
1,کافه رستوران اسکای,4.8,30,50,1,آژانس
2,تهیه غذای منظریه,0.0,30,50,1,آژانس
3,رستوران ژیوان,0.0,20,40,1,آژانس
4,پیتزا تک,0.0,40,60,1,آژانس
5,تهیه غذای مزه شمال,0.0,58,88,1,آژانس
6,پیتزا ورونا,0.0,40,60,0,
7,تهیه غذای سی نون,4.3,40,60,0,
8,فست فود تنورک,4.0,35,75,0,
9,فست فود قارچ کوچولو,4.3,40,70,0,
10,آشپزخانه شاد,2.7,20,35,1,آژانس
11,رستوران گامرون,4.2,30,50,1,آژانس
12,رستوران کافه کباب,4.5,30,55,0,
13,فست فود بمب شهر,4.3,45,75,0,
14,پیتزا یاقوت,3.8,30,55,0,
15,پیتزا یاقوت,3.8,30,55,0,
16,آشپزخانه حاج حسین,3.8,40,55,0,
17,فست فود زاپاتا,4.2,30,55,1,آژانس
18,رستوران افندی فود,4.2,30,50,1,آژانس
19,فست فود آفتاب,4.2,25,50,1,آژانس
20,رستوران برتر جوجه ایرانیان,4.4,30,50,0,
21,فست فود آر اف سی,3.9,30,50,0,
22,رستوران خوان,4.1,20,40,1,آژانس
23,فست فود ناپول,4.1,30,60,0,
24,رستوران ملل,4.3,50,75,1,آژانس
25,فست فود بیست فود,4.0,25,50,0,
26,کافه رستوران شانلی,3.9,55,85,1,آژانس
27,فست فود ونیز,4.3,25,45,1,آژانس
28,فروشگاه روغن سلامتی,4.9,25,30,0,
29,کبابسرای سید شعبه گلشهر,4.2,50,60,1,آژانس
30,کترینگ طالبی,4.2,25,50,1,آژانس
31,آشپزخانه ناهارخوران,3.8,35,45,1,آژانس
32,رستوران و فست فود چشم انداز,4.3,40,50,1,آژانس
33,رستوران گندم,3.9,30,60,1,آژانس
34,فست فود بمب مسعود,4.7,40,60,1,آژانس
35,فست فود لیمو ترش,4.1,45,65,1,آژانس
36,فست فود بام سبز,2.1,25,50,1,آژانس
37,تهیه غذای ناب,4.6,15,30,1,آژانس
38,رستوران ایتالیایی نارلی,4.4,40,50,1,آژانس
39,فست فود دانژه,3.0,25,40,1,آژانس
40,فست فود گرین فود,0.0,30,45,1,آژانس
41,رستوران هانی,4.0,15,30,0,
42,رستوران پسر خوب,0.0,15,30,1,آژانس
43,رستوران آقای برگر,0.0,15,30,1,آژانس
44,فست فود بیست (گوهردشت),4.0,36,66,1,آژانس
45,پیتزا ویدون (گوهردشت),4.4,30,50,1,آژانس
46,رستوران شاندیز جردن,4.7,55,65,1,آژانس
47,خروس,4.6,25,45,0,
48,آشپزخانه نایب (نیاوران),4.2,60,70,0,
49,پیتزا در ب در,4.0,40,70,0,
50,برگر زغالی (ظفر),4.4,25,40,0,
51,رستوران گیلانه (جردن),4.4,50,75,0,
52,رستوران آواچی (آپادانا),4.2,30,60,0,
53,شمرون کباب (دشت بهشت),4.7,30,60,0,
54,مجموعه غذایی شهر,3.8,20,40,1,آژانس
55,رستوران و فست فود آریانو,4.4,25,50,1,آژانس
56,بابک بریانک,3.8,20,40,0,
57,رستوران ایتالیایی سیدرا,4.3,30,60,1,آژانس
58,فست فود قصر,4.1,40,70,0,
59,تهیه غذای سالم,3.9,40,120,1,آژانس
60,کلبه غذای کنجد,4.5,30,55,1,آژانس
61,بابک بریانک,3.8,20,40,0,
62,مطبخ چاشت,3.9,20,40,1,آژانس
63,کافه فست فود بیف لند,3.8,30,60,1,آژانس
64,رستوران ایتالیایی آریو,4.1,45,75,0,
65,رستوران ایتالیایی آریو,4.1,45,75,0,
66,کافه کانکشن,0.0,25,45,0,
67,رستوران چینو سوخاری,0.0,45,65,1,آژانس
68,رستوران مارسیا (اندرزگو),0.0,20,40,0,
69,کترینگ پلو شاهی,0.0,25,50,1,آژانس
70,فست فود فردی فود,0.0,25,50,1,آژانس
71,سفره خانه سنتی گلخونه,0.0,25,45,0,
72,کته کباب طبرستان,4.0,70,100,0,
73,غذایایرانی فردی فود,0.0,25,45,0,
74,رستوران لبنانی الریعان,3.0,30,60,1,آژانس
75,فودینو,0.0,40,60,1,آژانس
76,فست فود چوبین,3.4,20,40,1,آژانس
77,پیتزا بوفالو,4.6,30,55,0,
78,فست فود کوک (یک، ترک مال),4.6,20,40,0,
79,تهیه غذای شالیز,4.3,30,50,0,
80,فست فود کوک (دو، امام علی),4.3,20,40,1,آژانس
81,فست فود ستاره شهر,4.1,20,35,1,آژانس
82,تهیه غذای آفتاب,4.3,30,60,1,آژانس
83,ساندویچ ممتاز,4.3,45,55,0,
84,پانیذ فود,4.5,35,60,1,آژانس
85,رستوران سادات اخوی,4.3,40,60,1,آژانس
86,رستوران مهرگان,4.0,30,50,1,آژانس
87,وین برگر,4.3,20,35,1,آژانس
88,رستوران مصطفی کلبادینژاد,4.7,30,55,1,آژانس
89,رستوران سنتی عمارت عقیق,4.1,25,40,1,آژانس
90,رستوران خوان دوحد,3.8,25,50,1,آژانس
91,فست فود کرنوپیچ,4.5,25,55,0,
92,فست فود هزارویکشب,4.4,25,60,1,آژانس
93,فست فود بیست و هفت,4.7,20,50,1,آژانس
